CUENTA_ID,FECHA,ESTADO,DESCRIPCION
104,2024/03/22,CARGADO,Compra en tienda
106,25-11-2024,CARGADO,Retiro parcial
101,2024/04/30,CARGADO,Ingreso navideño
103,2024-05-09,CARGADO,Ingreso de fin de año
110,02-01-2024,CARGADO,Retiro parcial
110,2024/08/28,CARGADO,
107,23/08/2024,CARGADO,
105,26-03-2024,CARGADO,
113,2024-07-27,CARGADO,Ingreso mensual
104,11/03/2024,CARGADO,Ingreso extra
119,2024/06/08,CARGADO,Retiro parcial
115,2024-03-28,CARGADO,Compra en tienda
108,2024/01/24,ERROR_DATOS,Ingreso extra
110,09/11/2024,CARGADO,Ingreso navideño
115,25-02-2024,CARGADO,Compra en tienda
110,2024-04-10,CARGADO,Compra en tienda
103,22/10/2024,CARGADO,Ingreso mensual
111,25-08-2024,CARGADO,Compra en tienda
103,2024/07/01,CARGADO,Ingreso de fin de año
108,07-09-2024,CARGADO,
105,04/01/2024,CARGADO,Compra en tienda
113,2024-10-18,CARGADO,
107,2024-05-11,CARGADO,Retiro parcial
108,10/02/2024,CARGADO,Ingreso navideño
111,30/01/2024,CARGADO,Ingreso de fin de año
107,2024/08/09,CARGADO,
112,2024/10/03,CARGADO,Compra en tienda
120,10/04/2024,ERROR_DATOS,Ingreso extra
101,09/05/2024,CARGADO,Ingreso extra
114,2024-03-12,CARGADO,Ingreso navideño
115,2024-07-05,CARGADO,Compra en tienda
116,2024/04/11,CARGADO,Retiro parcial
120,2024/06/09,CARGADO,Compra en tienda
101,2024-10-29,CARGADO,Ingreso navideño
119,20/04/2024,CARGADO,
103,2024-05-13,CARGADO,Retiro parcial
117,2024-03-15,CARGADO,Compra en tienda
107,2024-12-07,CARGADO,Retiro parcial
104,2024/08/07,CARGADO,Ingreso extra
112,08/11/2024,CARGADO,Ingreso navideño
108,2024/03/22,CARGADO,Compra en tienda
101,2024/02/07,CARGADO,
110,04/06/2024,CARGADO,
101,2024/06/28,CARGADO,
106,2024/01/15,CARGADO,Compra en tienda
114,2024/02/23,CARGADO,
117,15/04/2024,CARGADO,
104,2024/02/10,CARGADO,Compra en tienda
107,23/12/2024,CARGADO,Ingreso navideño
101,19/06/2024,CARGADO,Ingreso mensual
114,29/11/2024,CARGADO,
107,12/07/2024,CARGADO,Ingreso navideño
112,2024-06-21,CARGADO,
118,10-07-2024,CARGADO,Ingreso extra
118,2024/03/03,CARGADO,Retiro parcial
109,2024-03-20,CARGADO,Ingreso mensual
120,11/09/2024,CARGADO,Compra en tienda
119,2024/02/20,CARGADO,
120,21-09-2024,CARGADO,Compra en tienda
117,2024/03/19,CARGADO,Retiro parcial
107,2024-10-18,CARGADO,Compra en tienda
104,2024/06/14,CARGADO,
108,2024/02/08,CARGADO,Ingreso extra
117,2024/10/10,ERROR_DATOS,
114,2024-06-12,CARGADO,Retiro parcial
109,23/11/2024,CARGADO,Ingreso extra
116,2024-07-17,CARGADO,Retiro parcial
113,12-05-2024,CARGADO,Ingreso navideño
111,2024-10-26,CARGADO,Ingreso de fin de año
108,27/08/2024,CARGADO,Ingreso navideño
106,2024-06-22,CARGADO,Compra en tienda
105,2024-11-02,CARGADO,Ingreso mensual
112,14/07/2024,CARGADO,Retiro parcial
118,22-02-2024,CARGADO,Ingreso navideño
109,09-08-2024,CARGADO,Compra en tienda
107,2024-12-10,CARGADO,Ingreso extra
113,22-10-2024,CARGADO,Retiro parcial
110,2024/04/22,CARGADO,Ingreso mensual
116,13/05/2024,CARGADO,Ingreso de fin de año
103,04/11/2024,CARGADO,Ingreso extra
119,2024-06-18,CARGADO,Ingreso mensual
106,2024/04/12,CARGADO,Ingreso de fin de año
109,2024-04-19,CARGADO,Ingreso navideño
119,19/02/2024,CARGADO,Retiro parcial
101,05/11/2024,CARGADO,
103,2024-06-29,CARGADO,Retiro parcial
112,2024-09-12,CARGADO,
101,28/04/2024,CARGADO,Ingreso de fin de año
108,2024-10-01,CARGADO,Retiro parcial
103,2024/01/02,ERROR_DATOS,Ingreso mensual
118,2024/02/08,CARGADO,Ingreso navideño
119,2024-06-06,CARGADO,Ingreso mensual
109,2024-01-23,CARGADO,Compra en tienda
118,21/09/2024,CARGADO,Ingreso de fin de año
106,22-07-2024,CARGADO,Ingreso navideño
107,2024/06/10,CARGADO,Ingreso navideño
113,04/11/2024,CARGADO,Retiro parcial
110,2024/08/07,CARGADO,Ingreso extra
116,2024-08-07,CARGADO,Retiro parcial
103,2024/04/14,CARGADO,Retiro parcial
